country_region,confirmed,deaths
US,1552,65
US,136465,7612
US,5249,89
US,7027,49
US,6952,100
US,3890,126
US,108255,2410
US,3370,46
US,1901,54
US,6417,154
US,75176,1711
US,2984,61
US,10265,173
US,6685,75
US,12108,169
US,7437,155
US,4023,87
US,5630,88
US,9749,87
US,4489,67
US,3405,82
US,17078,249
US,3946,66
US,1612,34
US,2487,70
US,1475,52
US,10411,104
US,12541,119
US,3845,44
US,3608,80
US,2124,48
US,10384,94
US,9816,74
US,8921,134
US,10640,141
US,10089,183
US,4886,111
US,2712,57
US,4955,86
US,2923,69
US,6034,113
US,13818,179
US,4134,47
US,3180,70
US,8569,177
US,8845,118
US,3857,55
US,9624,244
US,12429,71
US,2322,35
US,3655,60
US,13887,126
US,6983,110
US,10102,118
US,4070,83
US,8116,73
US,6526,50
US,3443,67
US,4796,87
US,3862,59
US,22085,377
US,30134,627
US,11462,278
US,17135,124
US,6245,155
US,2509,51
US,9073,151
US,1766,46
US,7539,70
US,3226,37
US,3243,45
US,3661,43
US,6998,56
US,7266,86
US,10665,116
US,1495,42
US,7411,95
US,2833,36
US,14927,219
US,26295,405
US,2866,37
US,5059,108
US,58372,1118
US,3823,76
US,9342,271
US,3198,95
US,9444,148
US,21267,542
US,3147,82
US,11302,329
US,14879,341
US,12599,247
US,8096,133
US,3306,90
US,4242,130
US,9747,276
US,30347,773
US,4579,135
US,9629,166
US,22433,536
US,18654,491
US,6545,137
US,6366,154
US,3658,123
US,6736,212
US,39388,1207
US,1896,46
US,97891,2576
US,1613,35
US,5275,98
US,3157,49
US,2609,55
US,25349,474
US,1937,80
US,2116,58
US,2633,64
US,1459,53
US,4236,90
US,42337,551
US,4543,100
US,22345,344
US,5819,94
US,1284,42
US,18701,289
US,2182,70
US,3092,73
US,21970,424
US,1663,45
US,2456,63
US,16925,188
US,4593,65
US,2762,53
US,624,36
US,6993,68
US,25672,276
US,1962,35
US,4955,75
US,4817,99
US,1622,34
US,3137,51
US,4896,53
US,65739,600
US,4478,79
US,2966,65
US,6391,91
US,2957,47
US,4025,61
US,3162,46
US,2423,44
US,4566,45
US,2709,47
US,4188,59
US,12751,132
US,15208,68
US,2355,41
US,3476,52
US,7063,77
US,30617,259
US,11662,196
US,16992,214
US,20076,106
US,11056,179
US,3256,47
US,5419,68
US,5836,157
US,3346,71
US,4049,48
US,15070,142
US,3018,62
US,3258,82
US,6696,153
US,3760,34
US,1446,48
US,2355,55
US,42095,372
US,2126,58
US,23176,226
US,1709,36
US,7628,187
US,2799,66
US,53842,2237
US,2298,36
US,1975,84
US,4400,75
US,2381,73
US,4021,68
US,1223,51
US,1700,47
US,10300,134
US,1792,60
US,4163,102
US,1734,68
US,4499,100
US,43553,597
US,6924,200
US,29648,278
US,3227,101
US,5510,75
US,2031,45
US,1099,44
US,14436,184
US,3072,101
US,1450,42
US,2726,45
US,2163,44
US,6395,90
US,26084,223
US,2533,36
US,16000,49
US,6595,36
US,72343,223
US,1656,37
US,2339,34
US,10031,106
US,2660,63
US,4946,51
US,4372,78
US,13757,298
US,4603,56
US,5440,45
US,6630,72
US,1164,34
US,2935,41
US,4995,87
US,1699,36
US,9999,101
US,5573,101
US,4333,48
US,1293,37
US,1989,57
US,1746,35
US,4335,93
US,18811,162
US,3287,55
US,2249,63
US,12356,166
US,5100,36
US,14657,156
US,9156,86
US,4203,47
US,27769,378
US,24038,408
US,27667,370
US,5134,58
US,6999,57
US,5801,114
US,9345,223
US,1854,59
US,2207,70
US,5823,44
US,2721,45
US,4740,58
US,3213,57
US,9870,93
US,7540,64
US,11064,63
US,2740,63
US,13509,185
US,94998,1013
US,2972,51
US,3739,35
US,6134,56
US,13634,128
US,4711,69
US,12196,99
US,13728,107
US,39107,396
US,6217,64
US,4036,68
US,7345,65
US,6690,101
Ukraine,31085,460
Ukraine,38660,720
Ukraine,40739,702
Ukraine,62184,1014
Ukraine,8745,268
Ukraine,33091,544
Ukraine,38273,789
Ukraine,7375,264
Ukraine,23405,414
Ukraine,33851,532
Ukraine,28787,652
Ukraine,40726,678
United Kingdom,3210,67
United Kingdom,143715,4779
Uruguay,23807,231
Venezuela,115322,1052
West Bank and Gaza,145252,1536
Afghanistan,157508,7317
Angola,65301,1735
Antigua and Barbuda,4148,117
Argentina,5346242,116703
Armenia,341058,7718
Australia,83967,633
Australia,131325,1390
Austria,1207336,12921
Bahamas,22846,705
Bahrain,277894,1394
Belarus,666137,5193
Belgium,30868,27360
Belize,30888,588
Benin,24863,161
Bolivia,546155,19264
Bosnia and Herzegovina,279179,12814
Brazil,125081,2005
Brazil,430790,13811
Brazil,1263616,27359
Brazil,941502,24588
Brazil,379355,9697
Brazil,2212394,56347
Brazil,612569,16955
Brazil,461988,9548
Brazil,1584270,40815
Brazil,642046,20288
Brazil,383402,7509
Brazil,279901,6658
Brazil,1235922,20052
Brazil,4445942,154480
Bulgaria,707885,29163
Burma,525005,19152
Canada,220856,2363
Canada,8938,136
Canada,457058,11594
Central African Republic,11742,101
Chile,65767,1272
Chile,102199,1537
Chile,28617,542
Chile,162984,2758
Chile,96102,1447
Chile,745045,19757
Chile,38660,662
Chile,44298,817
Chile,135042,3572
China,68311,4512
Colombia,772987,16646
Colombia,14202,476
Colombia,340172,9702
Colombia,23015,942
Colombia,35987,936
Colombia,57030,1588
Colombia,16519,403
Colombia,266479,6849
Colombia,5160,97
Colombia,89137,3163
Colombia,46236,1409
Colombia,90321,2283
Colombia,90557,3045
Colombia,17296,693
Colombia,59680,1627
Colombia,417925,13207
Congo (Brazzaville),19066,359
Costa Rica,567706,7324
Croatia,635027,11329
Czechia,2262666,33902
Denmark,522581,2965
Dominica,6086,42
Eritrea,7513,62
Estonia,225837,1826
Eswatini,48358,1248
Ethiopia,372462,6808
Finland,196180,1384
France,55080,823
France,45811,724
France,21043,185
France,12409,279
France,63863,391
Gabon,37511,281
Gambia,9998,342
Georgia,871580,12466
Germany,895789,12079
Germany,1207373,18174
Germany,119162,1907
Germany,180734,3886
Ghana,131246,1228
Guinea-Bissau,6444,149
Hungary,1161879,35835
India,617908,6127
India,65508,820
India,1007038,13593
India,1441449,25099
India,827806,10095
India,771875,10055
India,349367,5141
India,2998699,38243
India,10405,51
India,6639995,141194
India,84619,1475
India,137057,508
India,32142,699
India,1050505,8424
India,603556,16612
India,954944,8956
India,2731945,36549
India,1710492,22911
India,1620229,19562
Indonesia,4258076,143893
Iran,6141335,130356
Ireland,602726,5707
Italy,89384,2602
Italy,95127,1511
Italy,498817,8263
Italy,434373,9034
Italy,125833,4478
Italy,949882,34479
Italy,126727,3163
Italy,406685,11909
Italy,281513,6904
Italy,329361,7250
Italy,305767,7432
Italy,68374,1494
Italy,535251,12014
Japan,106926,1161
Japan,5412,82
Japan,9489,176
Japan,16961,176
Japan,61179,1472
Japan,24450,220
Japan,3487,53
Japan,9103,66
Japan,169338,1314
Japan,14395,136
Japan,16285,118
Japan,15647,149
Japan,8042,61
Japan,8187,84
Japan,15545,136
Japan,50338,398
Japan,203228,3064
Japan,115884,1059
